,MarketName,x,y,WIC,Organic,Vegetables,Meat,Fruits,Grains
627,Culver City Farmers Market,-118.39464,34.024936,Y,Y,Y,N,Y,Y
629,Culver Farmers' Market,-86.419302,41.218494,Y,Y,Y,Y,Y,N
631,Culver Farmers' Market,-86.422907,41.216815000000004,Y,Y,Y,Y,Y,N
633,Cumberland County Farmers' Market,-85.364614,36.790074,Y,N,Y,N,Y,N
635,Cumberland Farmers Market,-85.961539,39.775859999999994,Y,N,Y,Y,Y,N
637,Cuyahoga Falls Farmers' Market (Farmers' Market in the Falls),-81.48356,41.130404,N,-,Y,N,Y,Y
639,Dallas County Farmer's Market,-92.41424,33.812858,N,N,Y,N,N,N
641,Danbury Farmers' Market,-73.450227,41.397912,Y,-,Y,N,Y,N
643,Dardanelle Farmers Market,-93.153099,35.220839,Y,Y,Y,Y,Y,Y
645,Darlington Farmers Market,-90.11744499999999,42.677665999999995,Y,N,Y,N,N,N
647,Davenport Farmers' Market,-90.571154,41.562863,Y,-,Y,N,Y,N
649,David City Farmers Market,-97.12995500000001,41.264759000000005,Y,-,Y,N,Y,N
651,Dawson Farmers Market,-96.0574386,44.9259444,N,N,Y,N,Y,N
653,Daybreak Farmers Market,-112.00256100000001,40.547045000000004,N,-,Y,Y,Y,N
655,De Soto Farmers' Market,-90.552184,38.143961,N,N,Y,Y,Y,N
657,Dearborn Farmers & Artisans Market,-83.211488,42.313057,N,Y,Y,N,Y,Y
659,Decatur Farmers Market ,-84.296808,33.778773,N,-,Y,Y,Y,N
661,DeForest Farmers' Market,-89.339846,43.246672,N,Y,Y,Y,Y,N
663,DeKalb Farmers' Market,-88.752032,41.931127000000004,N,-,Y,N,Y,Y
665,Del Monte Farmers Markets at Del Monte Shopping Center,-121.92703940000001,36.9872756,Y,Y,Y,N,Y,N
667,Delano Neighborhood Market,-97.360349,37.683757,N,Y,Y,Y,Y,N
669,Delcambre Seafood & Farmers Market,-91.982453,29.941659,N,-,Y,Y,Y,N
671,Delmar Farmers Market,-73.82589499999999,42.619919,N,Y,Y,Y,Y,Y
673,Delray GreenMarket,-80.071595,26.462365000000002,N,-,Y,Y,Y,N
675,Des Moines Waterfront Farmers Market,-122.329307,47.401657,Y,Y,Y,Y,Y,Y
677,Dexter Farmers Market,-83.889459,42.339503,N,-,Y,N,Y,N
679,Dickinson Square Farmers' Market,-75.151276,39.927056,Y,N,Y,Y,Y,N
681,Dillsboro Farmers Market,-85.059414,39.018037,Y,N,N,N,N,N
685,Dimondale Farmers' Market,-84.647388,42.646201,Y,N,Y,Y,Y,N
687,Dodge County Farmer's Market,-83.176305,32.200790000000005,N,-,Y,N,Y,N
689,Dodgeville Farmers Market,-90.129944,42.962345,Y,-,Y,Y,Y,N
691,Dolores County Farmers Market,-108.90358700000002,37.764835999999995,N,-,Y,N,Y,N
693,Donnelly Farmers Market,-116.07672,44.730034,N,Y,Y,N,Y,N
695,Dorchester/Dorchester House Farmers Market,-71.060126,42.304202000000004,Y,Y,Y,N,Y,N
697,Dorey Park Farmers Market ,-77.40588699999999,37.5380571,N,N,Y,N,Y,N
699,Dousman Farmers Market,-88.4725142,43.013121000000005,N,-,Y,N,Y,N
701,Dover Farmers' Market,-70.87597099999999,43.200765000000004,N,Y,Y,Y,Y,N
703,Down to Earth Chelsea Farmers Market ,-74.000805,40.746359000000005,Y,Y,Y,Y,Y,Y
705,Down to Earth Cunningham Park Farmers Market,-73.773482,40.7308,Y,Y,Y,Y,Y,N
707,Down to Earth Larchmont Farmers Market,-73.760008,40.933512,Y,Y,Y,Y,Y,Y
709,Down to Earth Mamaroneck Winter Farmers Market,-73.73040400000001,40.944796999999994,Y,Y,Y,Y,Y,Y
711,Down to Earth McGolrick Park Farmers Market,-73.943291,40.724358,Y,Y,Y,Y,Y,N
713,Down to Earth Morningside Park Farmers Market,-73.959645,40.801254,Y,Y,Y,Y,Y,N
715,Down to Earth New Rochelle Farmers Market,-73.79101700000001,40.93357,Y,Y,Y,Y,Y,Y
717,Down to Earth Ossining Farmers Market,-73.86341,41.160793,Y,Y,Y,Y,Y,Y
719,Down to Earth Park Slope Farmers Market,-73.983867,40.672303,Y,Y,Y,Y,Y,Y
721,Down to Earth Queens Botanical Garden Farmers Market,-73.826548,40.751776,Y,N,Y,N,Y,N
723,Down to Earth Rye Farmers Market,-73.68604300000001,40.983895000000004,Y,Y,Y,Y,Y,Y
725,Downingtown Farmers Market,-75.705606,40.007243,Y,N,Y,Y,Y,Y
727,Downtown Alachua Farmer's Market,-82.495552,29.790871999999997,N,Y,Y,Y,Y,N
729,Downtown Allen Park Farmers Market,-83.208989,42.254801,N,N,Y,N,Y,N
731,Downtown Beloit Farmer's Market,-89.035555,42.499697999999995,Y,Y,Y,Y,Y,Y
733,Downtown Berkeley,-122.2716,37.869819,Y,Y,Y,Y,Y,Y
735,Downtown Bloomington Farmers Market,-88.994107,40.480014000000004,Y,Y,Y,Y,Y,Y
737,Downtown Bloomington Farmers Market- Indoor,-88.996165,40.478127,N,Y,Y,Y,Y,Y
739,Downtown Canton Farmers Market,-95.863185,32.557359999999996,N,Y,Y,Y,Y,Y
741,Downtown Chico Thursday Night Market,-121.840469,39.728991,Y,-,Y,Y,Y,N
743,Downtown Conway Farmers' & Crafts Market,-92.440867,35.088507,Y,-,Y,Y,Y,N
745,Downtown Denison Farmers Market,-96.54535,33.755828,N,N,Y,Y,Y,N
747,Downtown Elgin Farmers Market,-88.282543,42.036328000000005,N,Y,Y,Y,Y,N
749,DOWNTOWN EVANSVILLE FARMERS MARKET,-87.586443,37.993544,Y,-,Y,Y,Y,N
751,Downtown Farmers Market,-88.30222909999999,36.609795899999995,N,Y,Y,Y,Y,N
753,Downtown Farmers Market,-80.770914,34.721099,N,Y,Y,Y,Y,N
755,Downtown Farmers Market,-88.302435,36.609868,N,Y,Y,Y,Y,N
757,"Downtown Farmers Market of Fort Pierce, Inc.",-80.321851,27.449057,N,Y,Y,Y,Y,N
759,Downtown Fond du Lac Farmers Market - Saturday,-88.446973,43.775364,Y,N,Y,Y,Y,Y
761,Downtown Fond du Lac Farmers Market - Wednesday,-88.447092,43.777853,Y,N,Y,Y,Y,Y
763,Downtown Green Bay Saturday Farmers Market,-88.017128,44.513118,Y,Y,Y,Y,Y,N
765,Downtown Lawrenceburg Farmer's Market,-84.857359,39.095734,Y,N,Y,Y,Y,N
767,DOWNTOWN LIMA FARMERS' MARKET,-84.1058237,40.739547200000004,N,-,Y,N,Y,N
769,Downtown Madison Farmers Market,-90.114634,32.460885,N,-,Y,Y,Y,N
771,Downtown Madison Farmers Market,-85.38297299999999,38.738245,Y,Y,Y,Y,Y,N
773,Downtown Marquette Farmers Market,-87.395409,46.543488,Y,Y,Y,Y,Y,N
775,Downtown Newport Farmers Market,-91.234721,35.6268,Y,-,Y,N,N,N
777,Downtown Novato Community Farmers Market,-122.578749,38.107535999999996,Y,Y,Y,N,Y,Y
779,Downtown Palo Alto Farmers' Market,-122.159029,37.44533,N,Y,Y,Y,Y,Y
781,Downtown Rogers Farmers Market,-94.116,36.332762,N,-,Y,Y,N,N
783,Downtown Santa Cruz Farmers' Market,-122.02703740000001,36.9724758,Y,Y,Y,Y,Y,N
785,Downtown Yakima Farmers Market,-120.50278700000001,46.602267,Y,Y,Y,Y,Y,N
787,Dresden Farmers Market,-88.693465,36.277008,N,Y,Y,Y,Y,N
789,Druid Hill Farmers' Market,-76.645847,39.317944,Y,Y,Y,N,Y,N
791,Dublin,-121.87863899999999,37.710402,Y,Y,Y,N,Y,N
793,Dubuque Farmers Market,-90.667851,42.504521000000004,Y,Y,Y,Y,Y,Y
795,Duluth's Downtown Farmers' Market,-92.093948,46.788804999999996,N,N,Y,N,Y,N
797,Durango Farmers Market,-107.88275800000001,37.273063,N,Y,Y,Y,Y,Y
799,Durham Farmers' Market,-78.90185600000001,36.000559,Y,Y,Y,Y,Y,Y
801,Durham Farmers' Market,-70.910656,43.13661,N,Y,Y,Y,Y,N
803,Duvall Farmers Market,-121.986419,47.744679,Y,Y,Y,Y,Y,N
805,E. Center St. Farmers Market,-118.776299,39.473055,Y,Y,Y,N,Y,N
807,Eagle Farmers Market,-96.43272900000001,40.816121,N,-,Y,N,Y,N
809,Eagle Springs Farmers Market,-95.19455699999999,29.975941,N,Y,Y,Y,Y,N
811,East Atlanta Village Farmers Market ,-84.344531,33.738679,N,Y,Y,Y,Y,Y
813,East Boston Farmers Market - Summer/Early Fall,-71.039467,42.374945000000004,Y,Y,Y,Y,Y,Y
815,East Boston Farmers On-line Market - Winter/Spring,-71.076514,42.3313532,Y,Y,Y,Y,Y,Y
817,East End Market,-95.342978,29.757510999999997,N,N,Y,Y,Y,N
819,East Greenbush Library & YMCA Farmers Market,-73.695566,42.618063,Y,-,Y,N,Y,N
821,East Hollywood Certified Farmers' Market,-118.308877,34.10151,Y,N,Y,N,Y,N
823,East Nashville Farmers' Market ,-86.764338,36.172268,N,Y,Y,Y,Y,Y
825,East Orange Farmer's Market,-74.209979,40.76125,Y,Y,Y,N,Y,Y
827,East Palo Alto Community Farmers Market,-122.13255,37.469415000000005,Y,Y,Y,N,Y,N
829,East Point Farmers Market ,-84.442141,33.679488,N,Y,Y,Y,Y,N
831,East Side Farmers' Market,-76.794875,42.088757,Y,-,Y,Y,Y,N
833,East Vancouver Farmers Market,-122.49377700000001,45.615372,Y,-,Y,Y,Y,N
835,Eastgate Plaza Farmers Market,-78.595325,42.97573,N,Y,Y,Y,Y,N
837,Easthampton Farmers & Makers Market,-72.669638,42.265189,Y,-,Y,Y,Y,Y
839,Easton Farmers' Market,-75.206274,40.689778000000004,Y,Y,Y,Y,Y,Y
841,Eastside Sunday Market,-83.900903,35.976258,Y,N,Y,Y,Y,N
843,Eat Drink RI Market at Blackbird Farm,-71.504764,41.901795,N,-,Y,Y,Y,N
845,Echo Park Farmers' Market,-118.258276,34.076409000000005,Y,Y,Y,N,Y,N
847,Edenton Farmers Market,-76.607401,36.062086,Y,N,Y,Y,Y,N
849,Edmonds Museum Summer Market,-122.37678700000001,47.811264,Y,Y,Y,Y,Y,N
851,Egg Harbor Farmers Market,-87.280716,45.049942,N,N,Y,N,Y,N
853,El Monte Farmers' Market,-118.03995,34.075484,Y,-,Y,N,Y,Y
855,Eldora Farmers Market,-93.100656,42.36051,Y,-,Y,N,Y,N
857,Elgin Farmers' Market,-97.370756,30.346425,N,N,Y,Y,Y,N
859,Ellington Farmers Market,-72.4681079,41.903639299999995,Y,-,Y,Y,Y,N
861,Ellington Winter Farmers' Market,-72.49035,41.8697886,Y,-,Y,Y,Y,N
863,Elliott County Farmers’ Market,-83.12263399999999,38.093439000000004,Y,N,Y,N,Y,N
865,Elm Street Market,-71.229493,42.349361,Y,Y,Y,Y,Y,N
867,Elmwood Bidwell Farmers' Market,-78.877625,42.923862,Y,Y,Y,Y,Y,N
869,Emmaus Farmers' Market,-75.4903,40.5366,N,Y,Y,Y,Y,N
871,Empire Farmers Market,-86.063056,44.811223999999996,Y,Y,Y,N,Y,N
873,Empire Market,-94.502691,37.087883000000005,N,Y,Y,Y,Y,N
875,Encino Farmers Market,-118.5128542,34.1862306,Y,Y,Y,Y,Y,N
877,Engadine Area Farmers' Market,-85.578248,46.119734,Y,-,Y,N,N,N
879,Enka-Candler Tailgate Market,-82.684674,35.54099,N,Y,Y,Y,Y,N
881,Ennis Farmers Market,-96.629391,32.32763,Y,-,Y,Y,Y,Y
883,Enumclaw Plateau Farmers' Market,-121.987466,47.202843,N,-,Y,N,Y,N
885,Espanola Farmers Market,-106.06580500000001,36.003598,Y,Y,Y,Y,Y,N
889,Etna Farmers Market,-122.895854,41.458263,Y,Y,Y,Y,Y,Y
891,Eureka Springs Farmers Market,-93.746149,36.398616,Y,Y,Y,Y,Y,N
893,Evart Farmers' Market,-85.259592,43.899648,Y,N,Y,Y,Y,N
895,Ewa Beach Community Park (People's Open Market),-158.007174,21.314954,N,N,Y,N,Y,N
897,Exeter Farmers’ Market,-70.950053,42.983633000000005,N,Y,Y,Y,Y,N
899,Fair Haven Market (hosted by The Vermont Farmers Market,-73.266531,43.59449,Y,-,Y,N,Y,N
901,Fairfax Community Farmers' Market,-122.58998000000001,37.985729,Y,Y,Y,Y,Y,Y
903,Fairfax Community Farmers' Market,-77.308647,38.846056,N,-,Y,Y,Y,N
905,Fairland Farmers Market,-94.85447099999999,36.747475,N,-,Y,Y,Y,N
907,Fairwood Farmers' Market,-117.41778000000001,47.768387,Y,Y,Y,Y,Y,N
909,Fallbrook Farmers' Market,-96.728376,40.877604999999996,N,Y,Y,Y,Y,N
911,Falls Park Farmers Market ,-96.723203,43.560777,N,Y,Y,Y,Y,N
913,Farm to Fork Farmers Market at Normandy Farms,-86.274997,39.894467,N,Y,Y,Y,Y,N
915,Farm to Preschool Market: Mercy Cares for Kids,-73.798353,42.665745,Y,Y,Y,N,N,N
917,Farmers and Crafts Market of Las Cruces ,-106.789695,32.326444,Y,Y,Y,Y,Y,N
919,Farmers Branch Market,-96.8952798,32.917849600000004,N,-,Y,N,Y,N
921,Farmers Fresh Market,-151.13536100000002,60.472775,Y,-,Y,N,Y,N
923,Farmers Market at St. John's,-88.159755,41.767594,N,N,Y,Y,Y,N
925,Farmers Market at the Depot,-85.217676,37.683658,Y,-,Y,Y,Y,N
927,Farmers Market at the Fairgrounds,-85.75624,39.791832,Y,N,Y,Y,Y,N
929,Farmers Market North Scottsdale,-111.893119,33.697831,N,-,Y,N,Y,N
931,Farmers Market of Bluffton,-80.86256800000001,32.234811,Y,Y,Y,Y,Y,Y
933,Farmers Market of Gravette,-94.446383,36.419093,N,N,Y,Y,Y,N
935,Farmers Market of the Ozarks,-93.255076,37.136365000000005,N,Y,Y,Y,Y,Y
937,Farmers Market on Green River,-85.482096,37.244082,Y,N,Y,Y,Y,N
939,Farmers Market on the Square,-85.307537,37.103437,N,N,Y,Y,Y,N
941,Farmers Market on the Square,-85.307537,37.103437,N,N,Y,Y,Y,N
943,Farmers on the Square,-77.189254,40.201689,Y,Y,Y,Y,Y,N
945,Farmers' gateway Market,-80.669759,40.377613000000004,N,-,Y,Y,Y,N
947,Farmers' Market at Hamakua Harvest,-155.44974,20.070926999999998,N,Y,Y,N,Y,N
949,Fayette County Farmers Market,-83.427938,39.53886,Y,N,Y,N,Y,N
951,Fayette County Farmers Market,-83.427938,39.53886,N,N,Y,N,Y,N
953,Fayette County Farmers' Market,-85.139738,39.641132,N,-,Y,Y,Y,N
955,Fearrington Farmers' Market,-79.09014300000001,35.800209,N,Y,Y,Y,Y,N
957,Felton Farmers' Market,-122.073815,37.048109000000004,Y,Y,Y,Y,Y,N
959,Ferguson Farmers' Market,-90.3027133,38.737579499999995,N,Y,Y,N,Y,Y
961,Ferry Plaza Farmers Market,-122.39352,37.795162,Y,Y,Y,Y,Y,Y
963,Festival Farmers Market,-74.4669868,42.6792512,Y,N,Y,Y,Y,N
965,Fibonacci's Mount Healthy Farmers Market,-84.54095,39.231609999999996,N,-,Y,Y,Y,N
967,Fifth Street Farmers' Market,-83.1700053,40.9509375,N,-,Y,N,Y,N
969,Fightingville Fresh,-92.03139399999999,30.211572999999998,N,-,Y,N,Y,N
971,Firefly Farmers' Market,-97.15659699999999,37.723203000000005,N,N,Y,Y,Y,Y
973,Fish Creek Settlement Shops Farm Market,-87.24535,45.113436,N,Y,Y,N,Y,N
975,Fisherman's Memorial Park Farmers Market,-71.48823900000001,41.380339,Y,-,Y,N,Y,Y
977,Fleming County Farmers’ Market,-83.759523,38.421407,Y,-,Y,Y,Y,N
979,Floyd County Farmers Market,-82.775995,37.670674,Y,-,Y,N,Y,N
981,Floyd County Farmers Market (Floyds Knobs),-85.896109,38.315002,Y,-,Y,Y,Y,N
983,Fondy Farmers Market,-87.939701,43.061842999999996,Y,N,Y,N,Y,N
985,Food for Thought Summer Market,-106.32699009999999,42.8482536,N,N,Y,Y,Y,N
987,Forest farmers market,-79.285443,37.36437,N,N,Y,Y,Y,N
989,Forest Grove Farmers Market,-123.11206299999999,45.520623,Y,Y,Y,Y,Y,Y
991,Forest Lakes Farmers Market,-78.44106,38.1087,N,N,Y,Y,Y,N
993,Fort Ben Farmers Market,-85.989646,39.865956,Y,Y,Y,Y,Y,N
995,Fort Sumner Farmers Market,-104.244013,34.470848,Y,N,Y,N,Y,N
997,Fox Lake Farmers Market,-88.17851,42.398071,N,-,Y,Y,Y,N
999,Frankenmuth Farmers Market,-83.738212,43.344313,Y,Y,Y,Y,Y,Y
1001,Franklin County Farmers Market,-84.88020999999999,38.201613,Y,Y,Y,Y,Y,Y
1003,Franklin Farmers Market,-86.05768,39.479799,N,Y,Y,Y,Y,N
1005,Franklin Park Conservatory and Botanical Gardens Farmers' Market,-82.951398,39.966119,N,-,Y,N,Y,N
1007,Franklin Simpson Farmers' Market,-86.577261,36.724368,Y,N,Y,N,Y,N
1009,Franklin Street Bazaar,-87.59474200000001,37.980191,Y,-,Y,Y,Y,Y
1011,Freedom Farmers Market at the Carter Center,-84.35682,33.767590000000006,N,Y,Y,Y,Y,Y
1013,"Freeman Health System, West - Farmers Market",-94.5268459,37.05268770000001,N,-,Y,Y,Y,N
1015,Freight House Farmers' Market,-90.582083,41.519748,Y,Y,Y,Y,Y,Y
1017,Freiheit Village Farmers Market,-98.072988,29.717952,N,N,Y,Y,Y,N
1019,Fresh Approach Mobile Farmers' Market,-121.812514,38.016546000000005,N,-,Y,N,Y,N
1021,Fresh2You Mobile Market,-75.74845400000001,39.973192499999996,Y,N,Y,N,Y,Y
1023,FRESHFARM Dupont Market,-77.044967,38.911806,Y,Y,Y,Y,Y,N
1025,Friendswood Farmers Market,-95.19130200000001,29.520767,N,Y,Y,Y,Y,Y
1027,Ft. Wayne's Farmers Market - Summer,-85.136155,41.078388000000004,N,Y,Y,Y,Y,Y
1029,Ft. Wayne's Farmers Market-Winter Market,-85.140411,41.074494,N,Y,Y,Y,Y,Y
1031,Fulshear Farmers' Market,-95.888475,29.690226000000003,N,-,Y,Y,Y,Y
1033,Fulton County Farmers Market,-86.21583309999998,41.0647645,N,Y,Y,Y,Y,N
1035,Fulton Stall Market - Indoor Farmers Market,-74.003474,40.706222,N,Y,Y,Y,Y,Y
1037,Fulton Street Farmers Market,-85.640479,42.963913,Y,Y,Y,Y,Y,Y
1039,Galena KS Farmer's Market,-94.63551700000001,37.075194,N,N,Y,N,Y,Y
1041,Gallatin Farmers Market ,-86.448948,36.388902,N,-,Y,Y,Y,N
1043,Galleria @ Tyler Riverside Farmers Market,-117.4578357,33.909747499999995,Y,Y,Y,Y,Y,Y
1045,Garden City Farmers Market,-100.8532074,37.977253600000004,N,-,Y,N,Y,N
1047,Gardner Farmers Market,-94.925777,38.812999,N,Y,Y,Y,Y,Y
1049,Garfield Park Farmers Market,-86.14183,39.731109000000004,Y,Y,Y,Y,Y,Y
1051,Garrard County Farmers Market,-84.583209,37.614373,N,N,Y,N,N,N
1053,"Gas City, IN Farmers Market ",-85.598506,40.489812,N,N,Y,Y,Y,N
1055,Gateway Farmers Market,-94.029671,33.430403999999996,Y,-,Y,Y,Y,N
1057,General Store Market ,-91.844351,45.402192,N,-,Y,N,Y,N
1059,Georgetown Farmers Market,-79.28178259999999,33.3662089,Y,-,N,Y,Y,N
1061,Get Moving Houston Farmers Market - Acres Homes,-95.422239,29.857439000000003,Y,N,Y,N,Y,N
1063,Get Moving Houston Farmers Market - Denver Harbor ,-95.386342,29.780471999999996,Y,N,Y,N,Y,N
1065,Get Moving Houston Farmers Market - Hiram Clarke ,-95.43355,29.614043,Y,N,Y,N,Y,N
1067,Get Moving Houston Farmers Market - Magnolia,-95.30090200000001,29.734482,Y,N,Y,N,Y,N
1069,Get Moving Houston Farmers Market - Northeast,-95.304197,29.851549,Y,N,Y,N,Y,N
1071,Get Moving Houston Farmers Market - Southwest,-95.496227,29.711246000000003,Y,N,Y,N,Y,N
1073,Get Moving Houston Farmers Market - Sunnyside,-95.356477,29.656412,Y,N,Y,N,Y,N
1075,Gilmanton Community Farmers Market Association,-71.332318,43.425346999999995,N,Y,Y,Y,Y,N
1077,Gladstone Farmers' Market,-94.5730016,39.2214548,N,N,Y,Y,Y,N
1079,Glen Arbor Farmers Market,-85.98690500000001,44.897978,Y,Y,Y,Y,Y,N
1081,GLENCOE,-85.934714,33.957828000000006,N,-,N,N,Y,N
1083,Glens Falls Farmers Market Association,-73.653504,43.317546,Y,Y,Y,Y,Y,N
1085,Glenwood Sunday Market,-87.681844,41.837551,Y,Y,Y,Y,Y,Y
1087,Goddard Memorial State Park Farmers Market,-71.444335,41.649602,Y,Y,Y,Y,Y,N
1089,Good Local Markets White Rock Farmers Market,-96.706451,32.829956,N,N,Y,N,Y,N
1091,Goodhue Farmers Market,-92.624672,44.403334,N,-,Y,Y,Y,N
1093,Gooding Farmer's Market,-114.712524,42.932194,N,-,Y,Y,Y,Y
1095,Gorgas Park Farmers' Market,-75.221221,40.037308,Y,N,Y,N,Y,N
1097,Goshen Farmers Market,-74.32289899999999,41.401965999999994,Y,N,Y,Y,Y,N
1099,Grand Prairie Farmers Market,-91.55237,34.498020000000004,N,-,Y,N,Y,N
1101,Grand Rapids Farmers' Market,-93.52975699999999,47.221394000000004,N,N,Y,Y,Y,Y
1103,Grandin Village Farmers Market,-79.978064,37.265053,N,N,Y,Y,Y,Y
1105,Grant Park Farmers Market ,-84.37362900000001,33.738909,N,Y,Y,Y,Y,N
1107,Grass Roots Farmers Market,-73.943475,40.823803999999996,Y,N,Y,N,Y,N
1109,"Great Falls Farmers Market, Turners Falls",-72.559612,42.606069,Y,-,Y,Y,Y,N
1111,Greater Washington County Food Bank Farmers' Market,-79.977907,40.041866999999996,N,N,Y,N,Y,N
1113,Greater Watertown-North Country Chamber of Commerce Farm & Craft Market,-75.91127269,43.972095700000004,N,Y,Y,Y,Y,N
1115,Greeley Farmers Market,-104.689105,40.424001000000004,N,-,Y,Y,Y,N
1117,Green City Market Lincoln Park,-87.633865,41.915853999999996,Y,Y,Y,Y,Y,Y
1119,Green City Market West Loop,-87.650439,41.880039000000004,Y,Y,Y,Y,Y,N
1121,Green Market at Piedmont Park,-84.378551,33.784257000000004,N,Y,Y,Y,Y,N
1123,Green Scene Walker Community Farmer's Market,-94.584857,47.100539000000005,N,Y,Y,Y,Y,Y
1125,Greenbelt Farmers Market,-76.877296,39.001146000000006,N,Y,Y,Y,Y,N
1127,Greene Farmers Market,-78.38414300000001,38.233858000000005,N,-,Y,Y,Y,N
1129,Gretna Farmers Market,-90.0653599,29.9165076,N,Y,Y,Y,Y,Y
1131,Grinnell Farmers Market,-92.724057,41.743189,Y,N,Y,Y,Y,N
1133,Grow Baton Rouge Farmers Market,-91.1491139,30.461755699999998,Y,-,Y,N,Y,Y
1135,Growing Augusta Pop-Up Market ,-82.11834,33.387808,N,Y,Y,N,N,N
1137,Guttenberg Farmers Market,-91.095446,42.782433000000005,Y,-,Y,Y,Y,N
1139,Halawa District Park (People's Open Market),-157.914948,21.373292000000003,N,N,Y,N,Y,N
1141,Halifax Market Place & Farmers Market,-78.92836,36.76317,N,N,Y,N,Y,Y
1143,Hamilton's Historic Farmers Market,-84.565522,39.394328,N,-,Y,N,Y,N
1145,Hammond's Grandson's Produce,-78.8531625,35.1865196,N,N,Y,N,Y,N
1147,Hampden Farmers Market,-68.847236,44.74558,Y,Y,Y,Y,Y,N
1149,Hampton Blvd Farmers Market,-76.305582,36.912352,N,Y,Y,Y,Y,Y
1151,Hampton Farmers Market,-93.20970200000001,42.742892,Y,N,Y,N,Y,N
1153,Hanalei Farmers' Market at Hale Halawai 'Ohana O Hanalei,-159.499208,22.201731,N,-,Y,N,Y,N
1155,Hancock County Farmers' Market,-83.65300400000001,41.039589,N,-,Y,Y,Y,N
1157,Hanover Market House,-76.98261,39.803273,N,N,Y,Y,Y,N
1159,HAPI Fresh Farmers' Market ,-81.521429,41.080456,Y,Y,Y,N,Y,N
1161,HAPI Fresh Farmers' Market ,-81.521429,41.080456,N,Y,Y,N,Y,N
1163,Hardy’s Farm Market,-85.2011808,41.035934499999996,Y,N,Y,N,Y,N
1165,Harker Heights Farmers Market,-97.681611,31.073245,N,N,Y,Y,Y,Y
1167,Harrison County Farmers Market - Saturday,-84.286978,38.394075,Y,-,Y,N,Y,N
1169,Harrison County Farmers Market - Wednesday,-84.29787900000001,38.390005,Y,-,Y,N,Y,N
1171,Hart County Farmers Market,-85.889578,37.271491999999995,Y,N,Y,N,Y,N
1173,Hartford Farmers Market,-96.947438,43.632678999999996,N,N,Y,N,Y,N
1175,Harvest Home 125th Street Market,-73.947702,40.808707,Y,N,Y,N,Y,N
1177,Harvest Home Brower Park Market,-73.94453,40.674043,Y,N,Y,N,Y,N
1179,Harvest Home Clinton Hill Market,-73.96631,40.688145,Y,N,Y,N,Y,N
1181,Harvest Home Co-Op City Market,-73.831007,40.870274,Y,N,Y,N,Y,N
1183,Harvest Home Coney Island Hospital Market,-73.96612900000001,40.58551,Y,N,Y,N,Y,N
1185,Harvest Home East Harlem Market,-73.945625,40.790265999999995,Y,N,Y,N,Y,N
1187,Harvest Home Harlem Hospital Market,-73.9401,40.814968,Y,N,Y,N,Y,N
1189,Harvest Home Hunts Point Market,-73.890698,40.820778999999995,Y,N,Y,N,Y,N
1191,Harvest Home Jacobi Hospital Market,-73.846979,40.857347,Y,N,Y,N,Y,N
1193,Harvest Home Kings County Hospital Market,-73.94252,40.655889,Y,N,Y,N,Y,N
1195,Harvest Home Lenox Avenue Market,-73.94885699999999,40.803028999999995,Y,N,Y,N,Y,N
1197,Harvest Home Metropolitan Hospital Market,-73.94622,40.785539,Y,N,Y,N,Y,N
1199,Harvest Home Mt. Eden Market,-73.90951700000001,40.8427,Y,N,Y,N,Y,N
1201,Harvest Home North Central Bronx Market,-73.883864,40.880479,Y,N,Y,N,Y,N
1203,Harvest Home St. Mary's Park Market,-73.911898,40.81385,Y,N,Y,N,Y,N
1205,Harvest Home West Harlem Market,-73.953193,40.822369,Y,N,Y,N,Y,N
1207,Hawaii Kai Park n Ride (People's Open Market),-157.71393500000002,21.283943,N,N,Y,N,Y,N
1209,Haymaker Farmers' Market,-81.360033,41.150692,Y,Y,Y,Y,Y,N
1211,Haymaker Farmers' Market,-81.337712,41.155218,Y,Y,Y,Y,Y,N
1213,Healthway Park Farmers Market,-85.91723,39.726276,Y,-,Y,Y,Y,N
1215,Heathsville Farmers Market,-76.47320400000001,37.916391,N,-,Y,Y,Y,N
1217,Heber Market on Main,-111.167763,40.329639,N,-,Y,N,Y,N
1219,Helen Albert Certified Farmers' Market,-118.35143400000001,34.094113,N,Y,Y,N,Y,N
1221,Henderson County Tailgate Market,-82.458271,35.314825,N,-,Y,N,Y,N
1223,Henderson Farmers Market,-97.811491,40.778921999999994,N,-,Y,N,Y,N
1225,Hendricks Farmers Market,-96.426422,44.508646999999996,N,-,Y,N,Y,N
1227,Hereford Farm Market,-76.644722,39.4668834,N,Y,Y,Y,Y,N
1229,Heritage Acres Drive-thru Market,-100.631876,40.199476000000004,N,Y,Y,Y,Y,Y
1231,Heritage Farmers' Market,-84.09616700000001,37.135019,N,-,Y,N,Y,N
1233,Heritage Harvest Certified Farmers Market @Victoria ,-117.53231799999999,34.110872,Y,Y,N,Y,Y,Y
1235,Heritage Market,-109.281673,34.132411499999996,N,N,Y,Y,Y,N
1237,Hernando Farmers Market,-89.994281,34.823026,Y,N,Y,Y,Y,Y
1239,Herndon Farmers Market ,-77.387108,38.970411,N,N,Y,N,Y,N
1241,Herriman Farmers Market,-112.015037,40.515537,N,Y,Y,N,Y,N
1243,Hickory Point UMC Produce Market,-87.24861999999999,36.433597,N,N,Y,N,Y,N
1245,High Desert Farmers Market,-117.25763300000001,34.473755,N,Y,Y,Y,Y,N
